Date,Open,High,Low,Close,Adj Close,Volume
1/4/2016,"4,990.00","5,025.00","4,885.00","4,890.00","4,102.94",13.66
1/5/2016,"4,890.00","4,975.00","4,890.00","4,950.00","4,153.28",26.46
1/6/2016,"4,960.00","5,200.00","4,935.00","5,050.00","4,237.19",36.38
1/7/2016,"5,000.00","5,075.00","4,985.00","4,985.00","4,182.65",18.65
1/8/2016,"5,000.00","5,050.00","4,975.00","5,000.00","4,195.24",24.35
1/11/2016,"4,975.00","4,975.00","4,925.00","4,935.00","4,140.70",21.52
1/12/2016,"4,975.00","5,000.00","4,920.00","4,920.00","4,128.11",21.76
1/13/2016,"4,990.00","5,025.00","4,945.00","4,985.00","4,182.65",25.42
1/14/2016,"4,930.00","5,050.00","4,885.00","5,025.00","4,216.21",46.65
1/15/2016,"5,050.00","5,075.00","4,975.00","4,975.00","4,174.26",18.45
1/18/2016,"4,930.00","4,970.00","4,915.00","4,920.00","4,128.11",23.96
1/19/2016,"4,920.00","4,960.00","4,910.00","4,960.00","4,161.67",9.84
1/20/2016,"4,940.00","4,945.00","4,850.00","4,850.00","4,069.38",33.40
1/21/2016,"4,875.00","4,925.00","4,865.00","4,870.00","4,086.16",17.10
1/22/2016,"4,925.00","5,025.00","4,920.00","5,000.00","4,195.24",35.58
1/25/2016,"5,050.00","5,150.00","5,000.00","5,025.00","4,216.21",42.40
1/26/2016,"4,980.00","5,025.00","4,905.00","4,930.00","4,136.50",26.39
1/27/2016,"4,960.00","4,985.00","4,915.00","4,950.00","4,153.28",17.88
1/28/2016,"4,950.00","4,965.00","4,905.00","4,960.00","4,161.67",22.21
1/29/2016,"4,960.00","4,980.00","4,875.00","4,910.00","4,119.72",50.07
2/1/2016,"4,950.00","4,955.00","4,835.00","4,880.00","4,094.55",38.57
2/2/2016,"4,880.00","4,925.00","4,875.00","4,890.00","4,102.94",16.57
2/3/2016,"4,845.00","4,880.00","4,840.00","4,870.00","4,086.16",33.17
2/4/2016,"4,905.00","4,955.00","4,890.00","4,950.00","4,153.28",33.35
2/5/2016,"4,960.00","5,325.00","4,955.00","5,275.00","4,425.97",113.31
2/9/2016,"5,225.00","5,425.00","5,200.00","5,300.00","4,446.95",56.09
2/10/2016,"5,250.00","5,375.00","5,250.00","5,325.00","4,467.93",17.26
2/11/2016,"5,300.00","5,500.00","5,300.00","5,400.00","4,530.86",55.33
2/12/2016,"5,350.00","5,500.00","5,275.00","5,275.00","4,425.97",25.99
2/15/2016,"5,375.00","5,425.00","5,350.00","5,400.00","4,530.86",24.62
2/16/2016,"5,375.00","5,475.00","5,325.00","5,400.00","4,530.86",14.71
2/17/2016,"5,425.00","5,550.00","5,400.00","5,475.00","4,593.78",31.71
2/18/2016,"5,550.00","5,675.00","5,450.00","5,450.00","4,572.81",52.62
2/19/2016,"5,150.00","5,250.00","5,100.00","5,100.00","4,279.14",119.55
2/22/2016,"5,125.00","5,150.00","4,985.00","5,000.00","4,195.24",54.93
2/23/2016,"5,025.00","5,050.00","4,880.00","4,955.00","4,157.48",48.32
2/24/2016,"4,970.00","5,125.00","4,965.00","5,125.00","4,300.12",32.58
2/25/2016,"5,100.00","5,125.00","4,980.00","5,000.00","4,195.24",19.02
2/26/2016,"5,050.00","5,075.00","5,000.00","5,025.00","4,216.21",27.10
2/29/2016,"5,050.00","5,075.00","5,000.00","5,075.00","4,258.17",25.26
3/1/2016,"5,075.00","5,100.00","4,965.00","4,990.00","4,186.85",34.58
3/2/2016,"5,025.00","5,075.00","4,990.00","5,000.00","4,195.24",38.14
