Date,Open,High,Low,Close,Adj Close,Volume
1/4/2016,"2,280.00","2,320.00","2,240.00","2,295.00","1,935.29",100.38
1/5/2016,"2,315.00","2,365.00","2,315.00","2,315.00","1,952.16",108.04
1/6/2016,"2,280.00","2,355.00","2,280.00","2,305.00","1,943.73",105.13
1/7/2016,"2,270.00","2,305.00","2,250.00","2,250.00","1,897.35",71.28
1/8/2016,"2,250.00","2,340.00","2,250.00","2,320.00","1,956.38",106.50
1/11/2016,"2,280.00","2,305.00","2,255.00","2,275.00","1,918.43",113.18
1/12/2016,"2,295.00","2,345.00","2,285.00","2,320.00","1,956.38",117.25
1/13/2016,"2,335.00","2,340.00","2,315.00","2,320.00","1,956.38",68.50
1/14/2016,"2,270.00","2,355.00","2,270.00","2,345.00","1,977.46",159.32
1/15/2016,"2,300.00","2,330.00","2,290.00","2,290.00","1,931.08",101.95
1/18/2016,"2,290.00","2,305.00","2,270.00","2,280.00","1,922.64",62.72
1/19/2016,"2,265.00","2,300.00","2,265.00","2,300.00","1,939.51",61.31
1/20/2016,"2,280.00","2,295.00","2,200.00","2,200.00","1,855.18",92.68
1/21/2016,"2,240.00","2,255.00","2,150.00","2,165.00","1,825.67",154.45
1/22/2016,"2,220.00","2,255.00","2,185.00","2,255.00","1,901.56",129.42
1/25/2016,"2,280.00","2,285.00","2,255.00","2,285.00","1,926.86",92.08
1/26/2016,"2,280.00","2,280.00","2,240.00","2,260.00","1,905.78",65.89
1/27/2016,"2,280.00","2,290.00","2,260.00","2,275.00","1,918.43",80.97
1/28/2016,"2,255.00","2,270.00","2,245.00","2,250.00","1,897.35",88.97
1/29/2016,"2,250.00","2,270.00","2,205.00","2,245.00","1,893.13",232.99
2/1/2016,"2,270.00","2,270.00","2,225.00","2,245.00","1,893.13",83.53
2/2/2016,"2,220.00","2,240.00","2,205.00","2,205.00","1,859.40",60.32
2/3/2016,"2,200.00","2,205.00","2,175.00","2,185.00","1,842.53",154.25
2/4/2016,"2,210.00","2,280.00","2,210.00","2,280.00","1,922.64",150.65
2/5/2016,"2,325.00","2,460.00","2,320.00","2,460.00","2,074.43",465.94
2/9/2016,"2,420.00","2,420.00","2,360.00","2,395.00","2,019.62",123.62
2/10/2016,"2,365.00","2,400.00","2,350.00","2,355.00","1,985.89",92.56
2/11/2016,"2,345.00","2,395.00","2,345.00","2,375.00","2,002.75",158.14
2/12/2016,"2,370.00","2,400.00","2,345.00","2,360.00","1,990.11",143.81
2/15/2016,"2,380.00","2,390.00","2,360.00","2,375.00","2,002.75",98.01
2/16/2016,"2,375.00","2,395.00","2,375.00","2,385.00","2,011.19",75.96
2/17/2016,"2,385.00","2,390.00","2,370.00","2,390.00","2,015.40",76.95
2/18/2016,"2,400.00","2,410.00","2,375.00","2,400.00","2,023.84",122.84
2/19/2016,"2,270.00","2,325.00","2,250.00","2,290.00","1,931.08",333.07
2/22/2016,"2,290.00","2,290.00","2,190.00","2,195.00","1,850.97",258.72
2/23/2016,"2,200.00","2,205.00","2,105.00","2,120.00","1,787.72",273.04
2/24/2016,"2,120.00","2,155.00","2,105.00","2,135.00","1,800.37",258.81
2/25/2016,"2,140.00","2,145.00","2,085.00","2,090.00","1,762.42",177.30
2/26/2016,"2,105.00","2,170.00","2,100.00","2,170.00","1,829.89",197.74
2/29/2016,"2,170.00","2,215.00","2,165.00","2,215.00","1,867.83",185.78
3/1/2016,"2,200.00","2,220.00","2,130.00","2,140.00","1,804.59",148.13
3/2/2016,"2,180.00","2,215.00","2,180.00","2,195.00","1,850.97",161.40
3/3/2016,"2,230.00","2,240.00","2,185.00","2,230.00","1,880.48",132.68
3/4/2016,"2,235.00","2,275.00","2,215.00","2,275.00","1,918.43",96.24
3/7/2016,"2,300.00","2,300.00","2,275.00","2,280.00","1,922.64",100.90
3/8/2016,"2,290.00","2,300.00","2,230.00","2,265.00","1,910.00",138.15
3/10/2016,"2,250.00","2,250.00","2,185.00","2,200.00","1,855.18",238.88
3/11/2016,"2,200.00","2,200.00","2,200.00","2,200.00","1,855.18",0.00
3/14/2016,"2,200.00","2,200.00","2,200.00","2,200.00","1,855.18",0.00
3/15/2016,"2,225.00","2,235.00","2,205.00","2,215.00","1,867.83",108.18
3/16/2016,"2,200.00","2,215.00","2,185.00","2,210.00","1,863.62",120.04
3/17/2016,"2,220.00","2,235.00","2,200.00","2,200.00","1,855.18",147.48
3/18/2016,"2,220.00","2,240.00","2,210.00","2,225.00","1,876.27",235.59
3/21/2016,"2,220.00","2,250.00","2,215.00","2,230.00","1,880.48",119.05
3/22/2016,"2,235.00","2,240.00","2,220.00","2,235.00","1,884.70",137.71
3/23/2016,"2,235.00","2,255.00","2,230.00","2,255.00","1,901.56",127.93
3/24/2016,"2,265.00","2,265.00","2,250.00","2,255.00","1,901.56",102.38
3/28/2016,"2,260.00","2,260.00","2,210.00","2,220.00","1,872.05",49.60
3/29/2016,"2,220.00","2,225.00","2,185.00","2,195.00","1,850.97",95.02
3/30/2016,"2,195.00","2,240.00","2,195.00","2,230.00","1,880.48",148.17
3/31/2016,"2,210.00","2,285.00","2,210.00","2,285.00","1,926.86",158.99
4/1/2016,"2,260.00","2,260.00","2,200.00","2,220.00","1,919.65",121.76
4/4/2016,"2,200.00","2,225.00","2,200.00","2,220.00","1,919.65",59.80
4/5/2016,"2,220.00","2,235.00","2,210.00","2,220.00","1,919.65",79.70
4/6/2016,"2,230.00","2,235.00","2,220.00","2,230.00","1,928.30",84.08
4/7/2016,"2,225.00","2,235.00","2,200.00","2,220.00","1,919.65",97.34
4/8/2016,"2,200.00","2,215.00","2,155.00","2,160.00","1,867.77",179.00
4/11/2016,"2,160.00","2,160.00","2,160.00","2,160.00","1,867.77",0.00
4/12/2016,"2,100.00","2,140.00","2,080.00","2,125.00","1,837.51",121.51
4/13/2016,"2,125.00","2,125.00","2,125.00","2,125.00","1,837.51",0.00
4/14/2016,"2,125.00","2,125.00","2,125.00","2,125.00","1,837.51",0.00
4/15/2016,"2,125.00","2,125.00","2,125.00","2,125.00","1,837.51",0.00
4/18/2016,"2,125.00","2,125.00","2,125.00","2,125.00","1,837.51",0.00
4/19/2016,"2,125.00","2,125.00","2,125.00","2,125.00","1,837.51",0.00
4/20/2016,"2,030.00","2,100.00","2,035.00","2,095.00","1,811.57",239.28
4/21/2016,"2,145.00","2,145.00","2,100.00","2,140.00","1,850.48",207.01
4/22/2016,"2,140.00","2,185.00","2,130.00","2,180.00","1,885.07",201.43
4/25/2016,"2,170.00","2,175.00","2,080.00","2,100.00","1,815.89",269.25
4/26/2016,"2,090.00","2,090.00","2,010.00","2,040.00","1,764.01",168.80
4/27/2016,"2,030.00","2,065.00","2,025.00","2,040.00","1,764.01",141.83
4/28/2016,"2,060.00","2,095.00","2,045.00","2,075.00","1,794.27",155.68
4/29/2016,"2,065.00","2,075.00","2,050.00","2,070.00","1,789.95",78.40
5/2/2016,"2,090.00","2,090.00","2,035.00","2,055.00","1,776.98",60.22
5/3/2016,"2,080.00","2,110.00","2,060.00","2,105.00","1,820.21",146.27
5/4/2016,"2,100.00","2,105.00","2,040.00","2,070.00","1,789.95",114.94
5/9/2016,"2,070.00","2,075.00","2,005.00","2,005.00","1,733.74",154.80
5/10/2016,"2,000.00","2,025.00","1,995.00","2,010.00","1,738.06",121.78
5/11/2016,"2,000.00","2,025.00","1,995.00","2,000.00","1,729.42",159.42
5/12/2016,"1,995.00","2,010.00","1,970.00","1,980.00","1,712.12",143.94
5/13/2016,"1,980.00","1,990.00","1,950.00","1,975.00","1,707.80",127.98
5/16/2016,"1,970.00","1,990.00","1,960.00","1,990.00","1,720.77",82.64
5/17/2016,"1,980.00","1,990.00","1,930.00","1,940.00","1,677.54",101.57
5/18/2016,"1,920.00","1,950.00","1,905.00","1,905.00","1,647.27",216.83
5/19/2016,"1,915.00","1,940.00","1,910.00","1,935.00","1,673.21",165.67
5/20/2016,"1,920.00","1,970.00","1,920.00","1,960.00","1,694.83",166.46
5/23/2016,"1,960.00","1,985.00","1,960.00","1,985.00","1,716.45",68.76
5/24/2016,"1,990.00","2,005.00","1,965.00","1,965.00","1,699.15",96.86
5/25/2016,"1,985.00","1,990.00","1,975.00","1,985.00","1,716.45",71.21
5/26/2016,"2,000.00","2,060.00","1,995.00","2,060.00","1,781.30",164.29
5/27/2016,"2,050.00","2,080.00","2,035.00","2,080.00","1,798.59",99.09
5/30/2016,"2,090.00","2,135.00","2,080.00","2,125.00","1,837.51",215.72
5/31/2016,"2,125.00","2,125.00","2,065.00","2,070.00","1,789.95",189.65
6/1/2016,"2,070.00","2,100.00","2,065.00","2,090.00","1,807.24",121.20
6/2/2016,"2,070.00","2,080.00","2,040.00","2,055.00","1,776.98",88.41
6/3/2016,"2,065.00","2,090.00","2,050.00","2,080.00","1,798.59",61.74
6/6/2016,"2,090.00","2,120.00","2,075.00","2,120.00","1,833.18",97.67
6/7/2016,"2,125.00","2,135.00","2,115.00","2,130.00","1,841.83",116.88
6/8/2016,"2,120.00","2,130.00","2,105.00","2,130.00","1,841.83",112.93
6/9/2016,"2,130.00","2,130.00","2,075.00","2,075.00","1,794.27",70.93
6/10/2016,"2,070.00","2,090.00","2,065.00","2,065.00","1,785.62",57.38
6/13/2016,"2,065.00","2,065.00","2,015.00","2,020.00","1,746.71",96.69
6/14/2016,"2,010.00","2,025.00","1,985.00","1,995.00","1,725.09",100.38
6/15/2016,"1,980.00","2,025.00","1,980.00","2,010.00","1,738.06",87.77
6/16/2016,"2,035.00","2,045.00","2,025.00","2,040.00","1,764.01",147.15
6/17/2016,"2,050.00","2,060.00","2,000.00","2,050.00","1,772.65",113.38
6/20/2016,"2,080.00","2,085.00","2,035.00","2,065.00","1,785.62",74.08
6/21/2016,"2,060.00","2,080.00","2,055.00","2,080.00","1,798.59",94.95
6/22/2016,"2,080.00","2,100.00","2,070.00","2,100.00","1,815.89",65.81
6/23/2016,"2,100.00","2,100.00","2,060.00","2,085.00","1,802.92",47.55
6/24/2016,"2,060.00","2,085.00","2,000.00","2,060.00","1,781.30",113.38
6/27/2016,"2,010.00","2,055.00","2,010.00","2,045.00","1,768.33",35.55
6/28/2016,"2,030.00","2,080.00","2,025.00","2,075.00","1,794.27",153.18
6/29/2016,"2,085.00","2,135.00","2,085.00","2,135.00","1,846.15",188.18
6/30/2016,"2,160.00","2,185.00","2,145.00","2,160.00","1,867.77",259.16
7/1/2016,"2,180.00","2,190.00","2,140.00","2,150.00","1,859.12",102.66
7/11/2016,"2,190.00","2,280.00","2,180.00","2,270.00","1,962.89",337.25
7/12/2016,"2,300.00","2,320.00","2,285.00","2,300.00","1,988.83",159.14
7/13/2016,"2,310.00","2,310.00","2,280.00","2,310.00","1,997.48",108.03
7/14/2016,"2,320.00","2,320.00","2,265.00","2,275.00","1,967.21",107.00
